NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN	GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN		32	0.34252283	0.9687585	0.5468278	1.0	1.0	1369	tags=50%, list=43%, signal=87%	
GSE14308_TH17_VS_NATURAL_TREG_UP	GSE14308_TH17_VS_NATURAL_TREG_UP		48	0.33154595	0.9687475	0.577	1.0	1.0	1314	tags=50%, list=42%, signal=84%	
GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP	GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP		36	0.3407558	0.96866673	0.55667	1.0	1.0	1174	tags=44%, list=37%, signal=70%	
GSE27786_BCELL_VS_NKCELL_DN	GSE27786_BCELL_VS_NKCELL_DN		35	0.34751981	0.9685856	0.5748744	1.0	1.0	934	tags=34%, list=30%, signal=48%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP		50	0.33207425	0.9684608	0.569	1.0	1.0	1740	tags=70%, list=55%, signal=153%	
GSE42724_MEMORY_BCELL_VS_PLASMABLAST_DN	GSE42724_MEMORY_BCELL_VS_PLASMABLAST_DN		49	0.33081222	0.9676927	0.578	1.0	1.0	1492	tags=55%, list=47%, signal=103%	
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP		59	0.32601598	0.96767735	0.552	1.0	1.0	1097	tags=39%, list=35%, signal=59%	
GSE27786_CD8_TCELL_VS_NKTCELL_UP	GSE27786_CD8_TCELL_VS_NKTCELL_UP		54	0.32701233	0.96765053	0.567	1.0	1.0	809	tags=33%, list=26%, signal=44%	
GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN	GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN		56	0.32701892	0.9674738	0.586	1.0	1.0	1372	tags=50%, list=43%, signal=87%	
GSE17721_CPG_VS_GARDIQUIMOD_2H_BMDC_DN	GSE17721_CPG_VS_GARDIQUIMOD_2H_BMDC_DN		49	0.33298552	0.9674339	0.558	1.0	1.0	819	tags=29%, list=26%, signal=38%	
GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_UP	GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_UP		39	0.3359389	0.9672679	0.5565566	1.0	1.0	1430	tags=49%, list=45%, signal=88%	
GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN		24	0.3533423	0.9670825	0.54939514	1.0	1.0	1055	tags=42%, list=33%, signal=62%	
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN	GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN		50	0.33510694	0.96669114	0.564	1.0	1.0	1216	tags=46%, list=39%, signal=74%	
GSE12366_GC_VS_NAIVE_BCELL_UP	GSE12366_GC_VS_NAIVE_BCELL_UP		32	0.34348634	0.9666432	0.5797392	1.0	1.0	992	tags=34%, list=31%, signal=50%	
GSE19923_WT_VS_E2A_KO_DP_THYMOCYTE_UP	GSE19923_WT_VS_E2A_KO_DP_THYMOCYTE_UP		31	0.35048512	0.9665747	0.55421686	1.0	1.0	807	tags=29%, list=26%, signal=39%	
GSE8685_IL15_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_DN	GSE8685_IL15_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_DN		49	0.33380613	0.9664851	0.575	1.0	1.0	1300	tags=49%, list=41%, signal=82%	
GSE6674_PL2_3_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP	GSE6674_PL2_3_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP		37	0.33981043	0.96633357	0.559	1.0	1.0	694	tags=24%, list=22%, signal=31%	
GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN	GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN		41	0.33307165	0.9662904	0.5745746	1.0	1.0	912	tags=32%, list=29%, signal=44%	
GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP	GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP		69	0.32484338	0.9662556	0.572	1.0	1.0	1463	tags=52%, list=46%, signal=95%	
GSE7831_CPG_VS_INFLUENZA_STIM_PDC_1H_DN	GSE7831_CPG_VS_INFLUENZA_STIM_PDC_1H_DN		27	0.35341787	0.9658056	0.5527638	1.0	1.0	1166	tags=44%, list=37%, signal=70%	
GSE29618_BCELL_VS_PDC_UP	GSE29618_BCELL_VS_PDC_UP		34	0.33862105	0.9654057	0.5421687	1.0	1.0	1492	tags=56%, list=47%, signal=105%	
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN	GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN		42	0.33416396	0.9651865	0.557	1.0	1.0	1023	tags=36%, list=32%, signal=52%	
GSE15624_3H_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_UP	GSE15624_3H_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_UP		31	0.34367353	0.9650295	0.55767304	1.0	1.0	1499	tags=61%, list=47%, signal=116%	
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP	GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP		25	0.35871628	0.96479297	0.53521127	1.0	1.0	960	tags=32%, list=30%, signal=46%	
GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN	GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN		25	0.3499422	0.9646094	0.5367573	1.0	1.0	402	tags=16%, list=13%, signal=18%	
GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_DN	GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_DN		29	0.3475309	0.9642961	0.5530839	1.0	1.0	1686	tags=69%, list=53%, signal=147%	
GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP	GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP		51	0.32879943	0.9642419	0.578	1.0	1.0	1250	tags=43%, list=40%, signal=70%	
GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN	GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN		67	0.32158774	0.96357846	0.572	1.0	1.0	1177	tags=43%, list=37%, signal=68%	
